x÷·,y÷·,z÷·
-187.932,399.546,331.953
-187.851,399.677,331.906
-187.977,399.457,332.018
-187.896,399.471,331.93
-188.067,399.343,331.912
-188.222,399.269,331.988
-188.062,399.539,332.047
-188.193,399.575,331.987
-188.166,399.43,331.883
-188.118,399.409,331.788
-188.26,399.538,331.958
-188.331,399.462,331.974
-188.279,399.417,331.905
-188.251,399.259,332.017
-188.109,399.3,331.89
-188.077,399.182,331.919
-188.093,399.441,332.046
-188.112,399.445,332.058
-188.082,399.498,331.984
-187.963,399.384,332.215
-187.958,399.453,332.165
-188.195,399.588,332.206
-188.0,399.44,332.111
-188.096,399.581,332.073
-188.043,399.497,331.963
-187.993,399.418,332.047
-187.731,399.367,331.98
-187.893,399.445,331.918
-188.072,399.563,331.916
-188.351,399.391,331.979
-188.254,399.334,331.976
-188.021,399.421,332.078
-188.07,399.528,332.136
-188.226,399.478,332.004
-188.221,399.399,332.074
-188.042,399.651,332.111
-188.214,399.241,331.976
-188.142,399.593,332.049
-188.006,399.589,332.032
-188.066,399.611,331.863
-188.275,399.683,331.828
-188.276,399.509,331.822
-188.196,399.501,331.859
-188.052,399.448,331.774
-187.889,399.505,331.863
-187.77,399.293,331.876
-187.95,399.339,331.865
-187.95,399.312,331.881
-188.067,399.424,331.87
-188.083,399.344,331.916
-188.188,399.208,331.884
-188.132,399.336,331.909
-188.372,399.412,331.87
-188.384,399.287,331.968
-188.387,399.21,332.104
-188.195,399.218,331.98
-188.207,399.284,331.992
-188.009,399.401,333.78
-188.112,399.173,334.342
-187.875,399.28,334.485
-187.807,399.29,334.469
-187.917,399.414,334.33
-187.934,399.299,334.384
-188.047,399.381,334.438
-188.21,399.25,334.465
-188.125,399.311,334.363
-188.271,399.267,334.395
-188.013,399.352,334.409
-188.185,399.492,334.279
-188.307,399.58,334.414
-188.084,399.503,334.266
-187.945,399.296,334.392
-188.012,399.28,334.341
-188.099,399.375,334.247
-188.036,399.599,334.462
-188.075,399.6,334.577
-188.054,399.399,334.603
-187.879,399.502,334.568
-187.957,399.442,334.422
-188.062,399.43,334.447
-188.017,399.299,334.461
-187.872,399.522,334.334
-187.968,399.529,334.246
-187.99,399.397,334.413
-187.995,399.45,334.527
-188.086,399.464,334.585
-188.197,399.523,334.388
-188.182,399.522,334.449
-188.303,399.401,334.308
-188.247,399.483,334.303
-188.27,399.459,334.294
-188.112,399.368,334.244
-188.198,399.521,334.321
-188.22,399.385,334.381
-188.106,399.37,334.327
-188.158,399.593,334.334
-188.07,399.48,334.339
-188.226,399.736,334.318
-187.959,399.468,334.539
-187.96,399.439,334.451
-188.185,399.492,334.279
-188.307,399.58,334.414
-188.084,399.503,334.266
-187.945,399.296,334.392
-188.012,399.28,334.341
-188.099,399.375,334.247
-188.036,399.599,334.462
-188.075,399.6,334.577
-188.054,399.399,334.603
-187.879,399.502,334.568
-187.957,399.442,334.422
-188.062,399.43,334.447
-188.017,399.299,334.461
-187.872,399.522,334.334
-187.968,399.529,334.246
-187.99,399.397,334.413
-187.995,399.45,334.527
-188.086,399.464,334.585
-188.197,399.523,334.388
-188.182,399.522,334.449
-188.303,399.401,334.308
-188.247,399.483,334.303
-188.27,399.459,334.294
-188.112,399.368,334.244
-188.198,399.521,334.321
-188.22,399.385,334.381
-188.106,399.37,334.327
-188.158,399.593,334.334
-188.07,399.48,334.339
-188.226,399.736,334.318
-187.959,399.468,334.539
-187.96,399.439,334.451
-187.947,399.465,334.425
-188.058,399.577,334.467
-188.215,399.518,334.478
-188.103,399.513,334.474
-188.152,399.409,334.578
-188.005,399.46,334.565
-188.047,399.363,334.448
-188.017,399.424,334.366
-187.941,399.37,334.4
-188.205,399.201,334.514
-187.944,399.486,332.023
-188.127,399.647,332.122
-188.093,399.5,332.098
-188.056,399.439,332.069
-187.998,399.593,332.113
-187.911,399.525,331.953
-187.916,399.465,331.94
-187.88,399.561,331.855
-187.981,399.317,331.805
-188.048,399.4,331.882
-187.898,399.474,331.824
-187.882,399.394,331.838
-187.979,399.486,331.892
-188.017,399.447,331.884
-187.963,399.431,331.916
-187.886,399.477,331.838
-188.034,399.569,331.924
-187.844,399.671,331.829
-187.783,399.465,331.963
-187.855,399.558,331.967
-187.868,399.491,331.92
-188.004,399.664,331.878
-187.901,399.518,332.082
-187.882,399.341,331.852
-187.905,399.385,332.092
-187.952,399.503,331.938
-187.965,399.693,331.881
-187.995,399.468,331.924
-188.002,399.562,331.919
-188.141,399.5,331.871
-187.991,399.56,332.0
-188.006,399.384,331.998
-188.098,399.446,331.85
-187.916,399.523,331.847
-187.988,399.589,332.052
-187.929,399.51,331.977
-188.275,399.426,332.013
-188.185,399.532,331.92
-188.204,399.655,332.0
-187.933,399.522,332.011
-188.01,399.435,332.123
-188.081,399.434,331.972
-188.036,399.172,331.895
-188.178,399.116,331.823
-187.944,399.385,331.845
-187.908,399.552,331.936
-188.002,399.365,331.934
-188.067,399.421,331.778
-187.874,399.556,331.703
-187.908,399.424,331.749
-188.014,399.333,331.834
-187.914,399.58,331.888
-188.002,399.384,334.375
-188.03,399.368,334.378
-188.091,399.467,334.343
-187.891,399.621,334.611
-187.96,399.456,334.511
-188.026,399.366,334.317
-187.933,399.522,332.011
-188.01,399.435,332.123
-188.081,399.434,331.972
-188.036,399.172,331.895
-188.178,399.116,331.823
-187.944,399.385,331.845
-187.908,399.552,331.936
-188.002,399.365,331.934
-188.067,399.421,331.778
-187.874,399.556,331.703
-187.908,399.424,331.749
-188.014,399.333,331.834
-187.914,399.58,331.888
-188.002,399.384,334.375
-188.03,399.368,334.378
-188.091,399.467,334.343
-187.891,399.621,334.611
-187.96,399.456,334.511
-188.026,399.366,334.317
-188.095,399.531,334.342
-188.032,399.305,334.464
-188.105,399.453,334.465
-188.18,399.227,334.397
-188.161,399.369,334.391
-188.064,399.385,334.398
-188.213,399.46,334.436
-188.175,399.465,334.406
-188.162,399.394,334.235
-188.053,399.375,334.342
-188.104,399.31,334.341
-188.102,399.354,334.328
-188.246,399.146,334.305
-188.168,399.346,334.256
-187.914,399.493,334.428
-188.053,399.476,334.359
-188.046,399.501,334.275
-188.041,399.535,334.318
-188.098,399.455,334.222
-188.042,399.465,334.317
-188.049,399.652,334.309
-187.998,399.574,334.307
-188.041,399.686,334.419
-188.189,399.574,334.397
-188.161,399.502,334.442
-188.014,399.355,334.356
-187.984,399.498,334.541
-188.022,399.654,334.569
-188.016,399.696,334.572
-187.923,399.628,334.49
-188.073,399.5,334.486
-188.017,399.419,334.515
-188.191,399.454,334.444
-188.065,399.527,334.48
-188.075,399.622,334.437
-188.01,399.601,334.561
-188.081,399.55,334.304
-188.018,399.364,334.255
-187.894,399.448,334.475
-188.153,399.539,334.479
-188.006,399.502,334.413
-188.092,399.447,334.372
-187.924,399.441,334.237
-188.03,399.515,334.105
-188.165,399.426,334.223
-188.112,399.554,334.27
-188.18,399.611,334.265
-187.941,399.523,334.322
-188.15,399.539,334.263
-187.905,399.637,334.392
-188.075,399.439,334.357
-188.033,399.503,334.471
-187.99,399.544,334.428
-188.102,399.679,334.496
-187.894,399.473,334.349
-188.031,399.323,334.389
-188.139,399.378,334.315
-188.076,399.484,334.329
-187.973,399.367,334.307
-187.772,399.485,334.267
-187.7,399.446,334.346
-187.849,399.38,334.348
-187.887,399.488,334.394
-187.969,399.4,334.52
-187.916,399.349,334.526
-187.953,399.417,334.455
-187.926,399.487,334.348
-187.987,399.49,334.267
-187.823,399.379,334.436
-187.817,399.349,334.299
-187.946,399.411,334.314
-187.965,399.287,334.371
-188.021,399.191,334.785
-187.8,399.122,334.483
-187.889,399.162,334.452
-187.837,399.26,334.491
-187.703,399.261,334.382
-187.826,399.42,334.405
-187.936,399.413,334.544
-187.86,399.336,334.657
-187.963,399.333,334.554
-188.112,399.554,334.27
-188.18,399.611,334.265
-187.941,399.523,334.322
-188.15,399.539,334.263
-187.905,399.637,334.392
-188.075,399.439,334.357
-188.033,399.503,334.471
-187.99,399.544,334.428
-188.102,399.679,334.496
-187.894,399.473,334.349
-188.031,399.323,334.389
-188.139,399.378,334.315
-188.076,399.484,334.329
-187.973,399.367,334.307
-187.772,399.485,334.267
-187.7,399.446,334.346
-187.849,399.38,334.348
-187.887,399.488,334.394
-187.969,399.4,334.52
-187.916,399.349,334.526
-187.953,399.417,334.455
-187.926,399.487,334.348
-187.987,399.49,334.267
-187.823,399.379,334.436
-187.817,399.349,334.299
-187.946,399.411,334.314
-187.965,399.287,334.371
-188.021,399.191,334.785
-187.8,399.122,334.483
-187.889,399.162,334.452
-187.837,399.26,334.491
-187.703,399.261,334.382
-187.826,399.42,334.405
-187.936,399.413,334.544
-187.86,399.336,334.657
-187.963,399.333,334.554
-187.618,399.162,334.48
-188.028,399.237,334.267
-188.111,399.253,334.274
-188.059,399.219,334.346
-188.099,399.396,334.443
-188.123,399.384,334.466
-187.867,399.335,334.318
-188.035,399.672,334.348
-187.985,399.454,334.323
-187.957,399.515,334.388
-188.113,399.421,334.4
-188.082,399.285,334.542
-188.067,399.341,334.633
-188.076,399.361,334.518
-188.176,399.474,334.487
-188.157,399.259,334.384
-188.101,399.446,334.425
-187.987,399.377,334.348
-188.117,399.398,334.4
-187.963,399.455,334.515
-187.927,399.48,334.688
-187.908,399.421,334.595
-188.009,399.529,334.541
-187.955,399.57,334.717
-188.043,399.398,334.557
-188.001,399.521,334.638
-187.977,399.381,332.112
-188.053,399.398,332.164
-187.915,399.488,332.113
-187.894,399.433,331.979
-187.865,399.489,332.158
-187.797,399.327,332.098
-187.893,399.294,332.119
-187.963,399.358,332.056
-187.952,399.473,332.058
